px1,px2,py1,py2,qx1,qx2,qy1,qy2,ax1,ax2,ay1,ay2
0,0,-5,-4.0909,0,0,1.6667,0,-1.0744,-1.0462,0.81976,1.2549
0,0,-5,-3.1818,0,0,1.6667,0,-1.2347,-0.80733,0.9305,0.90482
0,0,-5,-0.45455,0,0,2,0,-0.65729,0.42122,-0.0036438,-0.38176
0,0,-5,0.45455,0,0,1.8333,0,-0.67689,-0.41578,0.53785,0.40087
0,0,-5,-2.2727,0,0,1.6667,0,-1.357,-0.41434,0.95134,0.39651
0,0,-5,-1.3636,0,0,1.8333,0,-1.0289,0.074896,0.55387,-0.056776
0,0,-5,1.3636,0,0,2,0,-1.0164,-0.079482,-7.9483e-05,0.056417
0,0,-5,-5,0,0,1.3333,0,-0.92517,-1.1807,0.82605,1.252
0,0,-5,-0.45455,0,0,0.14434,0.083333,-1.4947,-0.12597,1.4947,0.12598
0,0,-5,1.3636,0,0,0.14434,0.083333,-1.4418,0.41383,1.4418,-0.41383
0,0,-5,-3.1818,0,0,1.8333,0,-1.2295,-0.81455,0.49856,0.86991
0,0,-5,-0.45455,0,0,0.28868,0.16667,-1.4946,-0.12661,1.4946,0.12661
0,0,-5,0.45455,0,0,2,0,-0.65729,-0.42122,-0.0036437,0.38175
0,0,-5,-4.0909,0,0,1.8333,0,-1.0624,-1.0449,0.42246,1.3255
0,0,-5,1.3636,0,0,0.28868,0.16667,-1.4384,0.42552,1.4384,-0.42552
0,0,-5,-1.3636,0,0,2,0,-1.0162,0.079329,-5.5181e-05,-0.05635
0,0,-5,-0.45455,0,0,0.43301,0.25,-1.4928,-0.14704,1.4928,0.14704
0,0,-5,-2.2727,0,0,1.8333,0,-1.3202,-0.41195,0.54492,0.3765
0,0,-5,0.45455,0,0,0.14434,0.083333,-1.4925,0.14993,1.4925,-0.14993
0,0,-5,-5,0,0,1.5,0,-0.9093,-1.1868,0.73677,1.2978
0,0,-5,1.3636,0,0,0.43301,0.25,-1.4375,0.42857,1.4375,-0.42857
0,0,-5,-1.3636,0,0,0.14434,0.083333,-1.4488,-0.38841,1.4488,0.38841
0,0,-5,0.45455,0,0,0.28868,0.16667,-1.4922,0.15305,1.4922,-0.15305
0,0,-5,1.3636,0,0,0.57735,0.33333,-1.4386,0.42463,1.4386,-0.42463
0,0,-5,-0.45455,0,0,0.57735,0.33333,-1.4634,-0.18941,1.4634,0.18941
0,0,-5,-1.3636,0,0,0.28868,0.16667,-1.449,-0.38786,1.449,0.38786
0,0,-5,-0.45455,0,0,0.72169,0.41667,-1.3662,-0.22061,1.3662,0.22061
0,0,-5,1.3636,0,0,0.72169,0.41667,-1.4403,0.41897,1.4403,-0.41897
0,0,-5,0.45455,0,0,0.43301,0.25,-1.4935,0.1396,1.4935,-0.1396
0,0,-5,-1.3636,0,0,0.43301,0.25,-1.4458,-0.39952,1.4458,0.39952
0,0,-5,-0.45455,0,0,0.86603,0.5,-1.2787,-0.2539,1.2787,0.2539
0,0,-5,-4.0909,0,0,2,0,-1.0703,-1.048,-0.072571,1.3385
0,0,-5,1.3636,0,0,0.86603,0.5,-1.4406,0.41788,1.4406,-0.41788
0,0,-5,-3.1818,0,0,2,0,-1.2483,-0.82245,-0.017759,0.84264
0,0,-5,-1.3636,0,0,0.57735,0.33333,-1.4348,-0.43738,1.4348,0.43738
0,0,-5,0.45455,0,0,0.57735,0.33333,-1.4961,0.10746,1.4961,-0.10747
0,0,-5,-0.45455,0,0,1.0104,0.58333,-1.1987,-0.28275,1.1987,0.28275
0,0,-5,-4.0909,0,0,0.14434,0.083333,-1.157,-0.95464,1.157,0.95464
0,0,-5,-2.2727,0,0,2,0,-1.3125,-0.41309,-0.003173,0.35625
0,0,-5,-3.1818,0,0,0.14434,0.083333,-1.2647,-0.80656,1.2647,0.80656
0,0,-5,1.3636,0,0,1.0104,0.58333,-1.4384,0.42545,1.4384,-0.42545
0,0,-5,-1.3636,0,0,0.72169,0.41667,-1.3405,-0.46695,1.3405,0.46695
0,0,-5,-0.45455,0,0,1.1547,0.66667,-1.1232,-0.30354,1.1232,0.30354
